,time,ev_load
160,2017-06-02 16:00:00,11.0
161,2017-06-02 16:15:00,11.100000000000001
162,2017-06-02 16:30:00,-3.5999999999999996
163,2017-06-02 16:45:00,-3.700000000000001
164,2017-06-02 17:00:00,-3.7
165,2017-06-02 17:15:00,11.100000000000001
166,2017-06-02 17:30:00,11.100000000000001
167,2017-06-02 17:45:00,55.0
168,2017-06-02 18:00:00,-11.100000000000001
169,2017-06-02 18:15:00,-33.1
170,2017-06-02 18:30:00,-29.400000000000002
171,2017-06-02 18:45:00,-29.4
172,2017-06-02 19:00:00,-22.099999999999998
173,2017-06-02 19:15:00,11.200000000000003
174,2017-06-02 19:30:00,-3.7
175,2017-06-02 19:45:00,18.3
176,2017-06-02 20:00:00,-7.3
177,2017-06-02 20:15:00,0.0
178,2017-06-02 20:30:00,3.700000000000001
179,2017-06-02 20:45:00,22.1
180,2017-06-02 21:00:00,-3.6999999999999993
181,2017-06-02 21:15:00,3.700000000000001
182,2017-06-02 21:30:00,29.4
183,2017-06-02 21:45:00,-11.100000000000001
184,2017-06-02 22:00:00,7.4
185,2017-06-02 22:15:00,18.4
186,2017-06-02 22:30:00,14.8
187,2017-06-02 22:45:00,3.7
188,2017-06-02 23:00:00,14.7
189,2017-06-02 23:15:00,0.0
190,2017-06-02 23:30:00,11.100000000000001
191,2017-06-02 23:45:00,-3.8000000000000007
192,2017-06-03 00:00:00,-7.4
193,2017-06-03 00:15:00,3.5999999999999996
194,2017-06-03 00:30:00,14.7
195,2017-06-03 00:45:00,29.4
196,2017-06-03 01:00:00,-14.7
197,2017-06-03 01:15:00,-7.4
198,2017-06-03 01:30:00,-18.5
199,2017-06-03 01:45:00,-22.099999999999998
200,2017-06-03 02:00:00,11.100000000000001
201,2017-06-03 02:15:00,-7.4
202,2017-06-03 02:30:00,-7.3
203,2017-06-03 02:45:00,18.5
204,2017-06-03 03:00:00,-7.300000000000001
205,2017-06-03 03:15:00,-3.7
206,2017-06-03 03:30:00,-25.7
207,2017-06-03 03:45:00,-7.3
208,2017-06-03 04:00:00,3.7
209,2017-06-03 04:15:00,25.8
210,2017-06-03 04:30:00,3.7
211,2017-06-03 04:45:00,-11.0
212,2017-06-03 05:00:00,-3.7
213,2017-06-03 05:15:00,-3.6000000000000014
214,2017-06-03 05:30:00,25.8
215,2017-06-03 05:45:00,0.0
216,2017-06-03 06:00:00,11.0
217,2017-06-03 06:15:00,-7.4
218,2017-06-03 06:30:00,3.7
219,2017-06-03 06:45:00,0.0
220,2017-06-03 07:00:00,0.0
221,2017-06-03 07:15:00,0.0
222,2017-06-03 07:30:00,0.0
223,2017-06-03 07:45:00,3.7
224,2017-06-03 08:00:00,3.7
225,2017-06-03 08:15:00,7.4
226,2017-06-03 08:30:00,-3.7
227,2017-06-03 08:45:00,-7.4
228,2017-06-03 09:00:00,7.4
229,2017-06-03 09:15:00,0.0
230,2017-06-03 09:30:00,-3.5999999999999996
231,2017-06-03 09:45:00,3.7
232,2017-06-03 10:00:00,-14.8
233,2017-06-03 10:15:00,18.4
234,2017-06-03 10:30:00,-7.4
235,2017-06-03 10:45:00,-14.8
236,2017-06-03 11:00:00,0.0
237,2017-06-03 11:15:00,3.7
238,2017-06-03 11:30:00,3.7
239,2017-06-03 11:45:00,3.7
240,2017-06-03 12:00:00,3.7
241,2017-06-03 12:15:00,22.0
242,2017-06-03 12:30:00,0.0
243,2017-06-03 12:45:00,14.7
244,2017-06-03 13:00:00,-18.4
245,2017-06-03 13:15:00,-14.7
246,2017-06-03 13:30:00,-7.4
247,2017-06-03 13:45:00,-7.4
248,2017-06-03 14:00:00,7.4
249,2017-06-03 14:15:00,0.0
250,2017-06-03 14:30:00,0.0
251,2017-06-03 14:45:00,-10.999999999999998
252,2017-06-03 15:00:00,11.100000000000001
253,2017-06-03 15:15:00,11.0
254,2017-06-03 15:30:00,7.4
255,2017-06-03 15:45:00,11.100000000000001
256,2017-06-03 16:00:00,-3.7
257,2017-06-03 16:15:00,11.0
258,2017-06-03 16:30:00,14.8
259,2017-06-03 16:45:00,3.5999999999999996
260,2017-06-03 17:00:00,3.5999999999999996
261,2017-06-03 17:15:00,7.4
262,2017-06-03 17:30:00,-11.100000000000001
263,2017-06-03 17:45:00,0.0
264,2017-06-03 18:00:00,0.0
265,2017-06-03 18:15:00,3.5999999999999996
266,2017-06-03 18:30:00,7.4
267,2017-06-03 18:45:00,-11.100000000000001
268,2017-06-03 19:00:00,-3.5999999999999996
269,2017-06-03 19:15:00,-14.8
270,2017-06-03 19:30:00,-3.6999999999999993
271,2017-06-03 19:45:00,3.7
272,2017-06-03 20:00:00,3.7
273,2017-06-03 20:15:00,-7.400000000000001
274,2017-06-03 20:30:00,-11.0
275,2017-06-03 20:45:00,0.0
276,2017-06-03 21:00:00,3.7
277,2017-06-03 21:15:00,-7.4
278,2017-06-03 21:30:00,-3.7
279,2017-06-03 21:45:00,3.7
280,2017-06-03 22:00:00,-3.7
281,2017-06-03 22:15:00,11.0
282,2017-06-03 22:30:00,3.7
283,2017-06-03 22:45:00,7.4
284,2017-06-03 23:00:00,0.0
285,2017-06-03 23:15:00,0.0
286,2017-06-03 23:30:00,7.4
287,2017-06-03 23:45:00,11.100000000000001
288,2017-06-04 00:00:00,-11.100000000000001
289,2017-06-04 00:15:00,11.0
