,time,Available_energy_sources
49,2017-01-03 01:00:00,"[{'vehicle_id': 6, 'energy': 61.82130090228503}, {'vehicle_id': 7, 'energy': 70.11486034271459}]"
50,2017-01-03 02:00:00,"[{'vehicle_id': 7, 'energy': 73.81486034271458}]"
51,2017-01-03 03:00:00,"[{'vehicle_id': 7, 'energy': 77.5148603427146}]"
52,2017-01-03 04:00:00,"[{'vehicle_id': 7, 'energy': 81.21486034271459}]"
53,2017-01-03 05:00:00,[]
54,2017-01-03 06:00:00,[]
55,2017-01-03 07:00:00,[]
56,2017-01-03 08:00:00,[]
57,2017-01-03 09:00:00,[]
58,2017-01-03 10:00:00,"[{'vehicle_id': 8, 'energy': 36.6244298744811}]"
59,2017-01-03 11:00:00,"[{'vehicle_id': 8, 'energy': 40.324429874481105}]"
60,2017-01-03 12:00:00,"[{'vehicle_id': 8, 'energy': 44.0244298744811}]"
61,2017-01-03 13:00:00,"[{'vehicle_id': 8, 'energy': 47.7244298744811}]"
62,2017-01-03 14:00:00,"[{'vehicle_id': 8, 'energy': 51.424429874481106}]"
63,2017-01-03 15:00:00,"[{'vehicle_id': 8, 'energy': 55.1244298744811}]"
64,2017-01-03 16:00:00,"[{'vehicle_id': 8, 'energy': 58.824429874481105}]"
65,2017-01-03 17:00:00,"[{'vehicle_id': 8, 'energy': 62.5244298744811}]"
66,2017-01-03 18:00:00,"[{'vehicle_id': 8, 'energy': 66.2244298744811}]"
67,2017-01-03 19:00:00,"[{'vehicle_id': 8, 'energy': 69.9244298744811}]"
68,2017-01-03 20:00:00,"[{'vehicle_id': 8, 'energy': 73.62442987448111}]"
69,2017-01-03 21:00:00,"[{'vehicle_id': 8, 'energy': 77.3244298744811}]"
70,2017-01-03 22:00:00,"[{'vehicle_id': 8, 'energy': 81.02442987448111}]"
71,2017-01-03 23:00:00,"[{'vehicle_id': 8, 'energy': 84.7244298744811}]"
72,2017-01-04 00:00:00,[]
73,2017-01-04 01:00:00,[]
74,2017-01-04 02:00:00,[]
75,2017-01-04 03:00:00,[]
76,2017-01-04 04:00:00,[]
77,2017-01-04 05:00:00,[]
78,2017-01-04 06:00:00,[]
79,2017-01-04 07:00:00,[]
80,2017-01-04 08:00:00,[]
81,2017-01-04 09:00:00,[]
82,2017-01-04 10:00:00,[]
83,2017-01-04 11:00:00,[]
84,2017-01-04 12:00:00,[]
85,2017-01-04 13:00:00,[]
86,2017-01-04 14:00:00,[]
87,2017-01-04 15:00:00,[]
88,2017-01-04 16:00:00,[]
89,2017-01-04 17:00:00,[]
90,2017-01-04 18:00:00,[]
91,2017-01-04 19:00:00,"[{'vehicle_id': 9, 'energy': 28.43920550680278}]"
92,2017-01-04 20:00:00,"[{'vehicle_id': 9, 'energy': 32.13920550680278}, {'vehicle_id': 10, 'energy': 44.58606274901993}]"
93,2017-01-04 21:00:00,"[{'vehicle_id': 9, 'energy': 35.83920550680278}, {'vehicle_id': 10, 'energy': 48.28606274901993}]"
94,2017-01-04 22:00:00,"[{'vehicle_id': 9, 'energy': 39.53920550680278}, {'vehicle_id': 10, 'energy': 51.98606274901993}]"
95,2017-01-04 23:00:00,"[{'vehicle_id': 9, 'energy': 43.239205506802776}, {'vehicle_id': 10, 'energy': 55.68606274901993}]"
96,2017-01-05 00:00:00,"[{'vehicle_id': 9, 'energy': 46.93920550680278}, {'vehicle_id': 10, 'energy': 59.38606274901993}]"
97,2017-01-05 01:00:00,"[{'vehicle_id': 10, 'energy': 63.08606274901993}]"
98,2017-01-05 02:00:00,"[{'vehicle_id': 10, 'energy': 66.78606274901993}]"
99,2017-01-05 03:00:00,"[{'vehicle_id': 10, 'energy': 70.48606274901994}]"
100,2017-01-05 04:00:00,"[{'vehicle_id': 10, 'energy': 74.18606274901992}]"
101,2017-01-05 05:00:00,"[{'vehicle_id': 10, 'energy': 77.88606274901994}]"
102,2017-01-05 06:00:00,"[{'vehicle_id': 10, 'energy': 81.58606274901993}]"
103,2017-01-05 07:00:00,"[{'vehicle_id': 10, 'energy': 85.28606274901993}]"
104,2017-01-05 08:00:00,"[{'vehicle_id': 10, 'energy': 88.98606274901994}]"
105,2017-01-05 09:00:00,[]
106,2017-01-05 10:00:00,[]
107,2017-01-05 11:00:00,[]
108,2017-01-05 12:00:00,[]
109,2017-01-05 13:00:00,"[{'vehicle_id': 11, 'energy': 48.77581401872363}]"
110,2017-01-05 14:00:00,"[{'vehicle_id': 11, 'energy': 52.47581401872363}, {'vehicle_id': 12, 'energy': 53.204299840890876}]"
111,2017-01-05 15:00:00,"[{'vehicle_id': 11, 'energy': 56.17581401872363}, {'vehicle_id': 12, 'energy': 56.90429984089088}]"
112,2017-01-05 16:00:00,"[{'vehicle_id': 11, 'energy': 59.87581401872363}, {'vehicle_id': 12, 'energy': 60.604299840890874}]"
113,2017-01-05 17:00:00,"[{'vehicle_id': 11, 'energy': 63.575814018723634}, {'vehicle_id': 12, 'energy': 64.30429984089088}]"
114,2017-01-05 18:00:00,"[{'vehicle_id': 11, 'energy': 67.27581401872362}, {'vehicle_id': 12, 'energy': 68.00429984089088}]"
115,2017-01-05 19:00:00,"[{'vehicle_id': 11, 'energy': 70.97581401872364}, {'vehicle_id': 12, 'energy': 71.70429984089088}]"
116,2017-01-05 20:00:00,"[{'vehicle_id': 11, 'energy': 74.67581401872363}, {'vehicle_id': 12, 'energy': 75.40429984089087}, {'vehicle_id': 13, 'energy': 46.866471802751704}]"
117,2017-01-05 21:00:00,"[{'vehicle_id': 11, 'energy': 78.37581401872363}, {'vehicle_id': 12, 'energy': 79.10429984089087}, {'vehicle_id': 13, 'energy': 50.56647180275171}]"
118,2017-01-05 22:00:00,"[{'vehicle_id': 11, 'energy': 82.07581401872363}, {'vehicle_id': 12, 'energy': 82.80429984089088}, {'vehicle_id': 13, 'energy': 54.2664718027517}]"
119,2017-01-05 23:00:00,"[{'vehicle_id': 11, 'energy': 85.77581401872362}, {'vehicle_id': 12, 'energy': 86.50429984089088}, {'vehicle_id': 13, 'energy': 57.966471802751705}]"
120,2017-01-06 00:00:00,"[{'vehicle_id': 12, 'energy': 90.20429984089088}, {'vehicle_id': 13, 'energy': 61.6664718027517}]"
121,2017-01-06 01:00:00,"[{'vehicle_id': 12, 'energy': 93.90429984089087}, {'vehicle_id': 13, 'energy': 65.3664718027517}]"
122,2017-01-06 02:00:00,"[{'vehicle_id': 13, 'energy': 69.0664718027517}]"
123,2017-01-06 03:00:00,"[{'vehicle_id': 13, 'energy': 72.76647180275171}]"
124,2017-01-06 04:00:00,"[{'vehicle_id': 13, 'energy': 76.4664718027517}]"
125,2017-01-06 05:00:00,"[{'vehicle_id': 13, 'energy': 80.16647180275172}]"
126,2017-01-06 06:00:00,"[{'vehicle_id': 13, 'energy': 83.8664718027517}]"
127,2017-01-06 07:00:00,"[{'vehicle_id': 13, 'energy': 87.5664718027517}]"
128,2017-01-06 08:00:00,"[{'vehicle_id': 13, 'energy': 91.26647180275171}, {'vehicle_id': 14, 'energy': 47.30027977822673}]"
129,2017-01-06 09:00:00,"[{'vehicle_id': 13, 'energy': 94.9664718027517}, {'vehicle_id': 14, 'energy': 51.000279778226734}]"
130,2017-01-06 10:00:00,"[{'vehicle_id': 13, 'energy': 98.66647180275172}, {'vehicle_id': 14, 'energy': 54.70027977822673}]"
131,2017-01-06 11:00:00,"[{'vehicle_id': 14, 'energy': 58.40027977822673}]"
132,2017-01-06 12:00:00,"[{'vehicle_id': 14, 'energy': 62.100279778226735}]"
133,2017-01-06 13:00:00,"[{'vehicle_id': 14, 'energy': 65.80027977822672}, {'vehicle_id': 15, 'energy': 41.88647938067761}]"
134,2017-01-06 14:00:00,"[{'vehicle_id': 14, 'energy': 69.50027977822674}, {'vehicle_id': 15, 'energy': 45.586479380677616}]"
135,2017-01-06 15:00:00,"[{'vehicle_id': 14, 'energy': 73.20027977822673}, {'vehicle_id': 15, 'energy': 49.28647938067761}, {'vehicle_id': 16, 'energy': 48.80064632052294}]"
136,2017-01-06 16:00:00,"[{'vehicle_id': 14, 'energy': 76.90027977822673}, {'vehicle_id': 15, 'energy': 52.986479380677615}, {'vehicle_id': 16, 'energy': 52.50064632052294}, {'vehicle_id': 17, 'energy': 46.18247919226873}]"
137,2017-01-06 17:00:00,"[{'vehicle_id': 15, 'energy': 56.68647938067761}, {'vehicle_id': 16, 'energy': 56.200646320522935}, {'vehicle_id': 17, 'energy': 49.88247919226873}]"
138,2017-01-06 18:00:00,"[{'vehicle_id': 15, 'energy': 60.38647938067761}, {'vehicle_id': 16, 'energy': 59.90064632052294}, {'vehicle_id': 17, 'energy': 53.58247919226873}]"
139,2017-01-06 19:00:00,"[{'vehicle_id': 15, 'energy': 64.08647938067762}, {'vehicle_id': 16, 'energy': 63.60064632052294}, {'vehicle_id': 17, 'energy': 57.28247919226873}, {'vehicle_id': 18, 'energy': 39.73182343261644}]"
140,2017-01-06 20:00:00,"[{'vehicle_id': 15, 'energy': 67.78647938067762}, {'vehicle_id': 16, 'energy': 67.30064632052293}, {'vehicle_id': 17, 'energy': 60.98247919226873}, {'vehicle_id': 18, 'energy': 43.43182343261644}]"
141,2017-01-06 21:00:00,"[{'vehicle_id': 15, 'energy': 71.48647938067762}, {'vehicle_id': 16, 'energy': 71.00064632052295}, {'vehicle_id': 17, 'energy': 64.68247919226873}, {'vehicle_id': 18, 'energy': 47.131823432616436}]"
142,2017-01-06 22:00:00,"[{'vehicle_id': 15, 'energy': 75.18647938067761}, {'vehicle_id': 16, 'energy': 74.70064632052294}, {'vehicle_id': 17, 'energy': 68.38247919226873}, {'vehicle_id': 18, 'energy': 50.83182343261644}]"
143,2017-01-06 23:00:00,"[{'vehicle_id': 15, 'energy': 78.88647938067761}, {'vehicle_id': 16, 'energy': 78.40064632052294}, {'vehicle_id': 17, 'energy': 72.08247919226874}, {'vehicle_id': 18, 'energy': 54.531823432616434}]"
144,2017-01-07 00:00:00,"[{'vehicle_id': 15, 'energy': 82.58647938067762}, {'vehicle_id': 16, 'energy': 82.10064632052294}, {'vehicle_id': 17, 'energy': 75.78247919226874}, {'vehicle_id': 18, 'energy': 58.23182343261644}]"
145,2017-01-07 01:00:00,"[{'vehicle_id': 15, 'energy': 86.28647938067762}, {'vehicle_id': 16, 'energy': 85.80064632052293}, {'vehicle_id': 17, 'energy': 79.48247919226873}, {'vehicle_id': 18, 'energy': 61.93182343261644}]"
146,2017-01-07 02:00:00,"[{'vehicle_id': 15, 'energy': 89.98647938067762}, {'vehicle_id': 16, 'energy': 89.50064632052295}, {'vehicle_id': 17, 'energy': 83.18247919226873}, {'vehicle_id': 18, 'energy': 65.63182343261644}]"
147,2017-01-07 03:00:00,"[{'vehicle_id': 15, 'energy': 93.68647938067761}, {'vehicle_id': 16, 'energy': 93.20064632052294}, {'vehicle_id': 17, 'energy': 86.88247919226873}, {'vehicle_id': 18, 'energy': 69.33182343261643}]"
148,2017-01-07 04:00:00,"[{'vehicle_id': 15, 'energy': 97.38647938067761}, {'vehicle_id': 16, 'energy': 96.90064632052294}, {'vehicle_id': 17, 'energy': 90.58247919226874}, {'vehicle_id': 18, 'energy': 73.03182343261645}]"
149,2017-01-07 05:00:00,"[{'vehicle_id': 16, 'energy': 100}, {'vehicle_id': 17, 'energy': 94.28247919226874}, {'vehicle_id': 18, 'energy': 76.73182343261644}]"
150,2017-01-07 06:00:00,"[{'vehicle_id': 17, 'energy': 97.98247919226873}]"
151,2017-01-07 07:00:00,"[{'vehicle_id': 17, 'energy': 100}]"
152,2017-01-07 08:00:00,[]
153,2017-01-07 09:00:00,[]
154,2017-01-07 10:00:00,[]
155,2017-01-07 11:00:00,[]
156,2017-01-07 12:00:00,[]
157,2017-01-07 13:00:00,[]
158,2017-01-07 14:00:00,"[{'vehicle_id': 19, 'energy': 36.650079313657386}]"
159,2017-01-07 15:00:00,"[{'vehicle_id': 19, 'energy': 40.35007931365739}, {'vehicle_id': 20, 'energy': 47.88206280962745}]"
160,2017-01-07 16:00:00,"[{'vehicle_id': 19, 'energy': 44.050079313657385}, {'vehicle_id': 20, 'energy': 51.58206280962745}]"
161,2017-01-07 17:00:00,"[{'vehicle_id': 19, 'energy': 47.75007931365739}, {'vehicle_id': 20, 'energy': 55.28206280962745}]"
162,2017-01-07 18:00:00,"[{'vehicle_id': 19, 'energy': 51.45007931365738}, {'vehicle_id': 20, 'energy': 58.98206280962745}, {'vehicle_id': 21, 'energy': 31.986941770872463}]"
163,2017-01-07 19:00:00,"[{'vehicle_id': 19, 'energy': 55.150079313657386}, {'vehicle_id': 20, 'energy': 62.68206280962745}, {'vehicle_id': 21, 'energy': 35.686941770872465}, {'vehicle_id': 22, 'energy': 52.0809794794002}]"
164,2017-01-07 20:00:00,"[{'vehicle_id': 19, 'energy': 58.85007931365739}, {'vehicle_id': 20, 'energy': 66.38206280962746}, {'vehicle_id': 21, 'energy': 39.38694177087246}, {'vehicle_id': 22, 'energy': 55.7809794794002}]"
165,2017-01-07 21:00:00,"[{'vehicle_id': 19, 'energy': 62.55007931365739}, {'vehicle_id': 20, 'energy': 70.08206280962744}, {'vehicle_id': 21, 'energy': 43.086941770872464}, {'vehicle_id': 22, 'energy': 59.4809794794002}]"
166,2017-01-07 22:00:00,"[{'vehicle_id': 20, 'energy': 73.78206280962745}, {'vehicle_id': 21, 'energy': 46.78694177087246}, {'vehicle_id': 22, 'energy': 63.1809794794002}]"
167,2017-01-07 23:00:00,"[{'vehicle_id': 21, 'energy': 50.48694177087246}, {'vehicle_id': 22, 'energy': 66.8809794794002}]"
168,2017-01-08 00:00:00,"[{'vehicle_id': 21, 'energy': 54.186941770872465}, {'vehicle_id': 22, 'energy': 70.5809794794002}]"
169,2017-01-08 01:00:00,"[{'vehicle_id': 21, 'energy': 57.88694177087247}, {'vehicle_id': 22, 'energy': 74.2809794794002}]"
170,2017-01-08 02:00:00,"[{'vehicle_id': 21, 'energy': 61.586941770872464}, {'vehicle_id': 22, 'energy': 77.9809794794002}]"
171,2017-01-08 03:00:00,"[{'vehicle_id': 21, 'energy': 65.28694177087246}, {'vehicle_id': 22, 'energy': 81.68097947940021}]"
172,2017-01-08 04:00:00,"[{'vehicle_id': 22, 'energy': 85.3809794794002}]"
173,2017-01-08 05:00:00,"[{'vehicle_id': 22, 'energy': 89.0809794794002}]"
174,2017-01-08 06:00:00,"[{'vehicle_id': 22, 'energy': 92.7809794794002}]"
175,2017-01-08 07:00:00,"[{'vehicle_id': 22, 'energy': 96.4809794794002}]"
176,2017-01-08 08:00:00,"[{'vehicle_id': 22, 'energy': 100}]"
177,2017-01-08 09:00:00,"[{'vehicle_id': 23, 'energy': 39.91610841447146}]"
178,2017-01-08 10:00:00,"[{'vehicle_id': 23, 'energy': 43.61610841447146}]"
179,2017-01-08 11:00:00,"[{'vehicle_id': 23, 'energy': 47.31610841447146}]"
180,2017-01-08 12:00:00,"[{'vehicle_id': 23, 'energy': 51.01610841447146}]"
181,2017-01-08 13:00:00,"[{'vehicle_id': 23, 'energy': 54.716108414471464}]"
182,2017-01-08 14:00:00,"[{'vehicle_id': 23, 'energy': 58.41610841447146}]"
183,2017-01-08 15:00:00,"[{'vehicle_id': 23, 'energy': 62.11610841447146}]"
184,2017-01-08 16:00:00,"[{'vehicle_id': 23, 'energy': 65.81610841447146}, {'vehicle_id': 24, 'energy': 40.17544428324847}, {'vehicle_id': 25, 'energy': 36.51499624432328}]"
185,2017-01-08 17:00:00,"[{'vehicle_id': 23, 'energy': 69.51610841447146}, {'vehicle_id': 24, 'energy': 43.87544428324847}, {'vehicle_id': 25, 'energy': 40.21499624432328}]"
186,2017-01-08 18:00:00,"[{'vehicle_id': 23, 'energy': 73.21610841447146}, {'vehicle_id': 24, 'energy': 47.575444283248466}, {'vehicle_id': 25, 'energy': 43.91499624432328}]"
187,2017-01-08 19:00:00,"[{'vehicle_id': 24, 'energy': 51.27544428324847}, {'vehicle_id': 25, 'energy': 47.61499624432328}]"
188,2017-01-08 20:00:00,"[{'vehicle_id': 24, 'energy': 54.975444283248464}, {'vehicle_id': 25, 'energy': 51.31499624432328}]"
189,2017-01-08 21:00:00,"[{'vehicle_id': 24, 'energy': 58.67544428324847}, {'vehicle_id': 25, 'energy': 55.01499624432328}]"
190,2017-01-08 22:00:00,"[{'vehicle_id': 24, 'energy': 62.37544428324847}, {'vehicle_id': 25, 'energy': 58.71499624432328}]"
191,2017-01-08 23:00:00,"[{'vehicle_id': 24, 'energy': 66.07544428324847}, {'vehicle_id': 25, 'energy': 62.41499624432328}]"
192,2017-01-09 00:00:00,"[{'vehicle_id': 24, 'energy': 69.77544428324848}, {'vehicle_id': 25, 'energy': 66.11499624432328}]"
193,2017-01-09 01:00:00,"[{'vehicle_id': 24, 'energy': 73.47544428324846}, {'vehicle_id': 25, 'energy': 69.81499624432328}]"
194,2017-01-09 02:00:00,"[{'vehicle_id': 24, 'energy': 77.17544428324847}, {'vehicle_id': 25, 'energy': 73.51499624432327}]"
195,2017-01-09 03:00:00,"[{'vehicle_id': 24, 'energy': 80.87544428324847}, {'vehicle_id': 25, 'energy': 77.21499624432329}]"
196,2017-01-09 04:00:00,"[{'vehicle_id': 25, 'energy': 80.91499624432328}]"
197,2017-01-09 05:00:00,"[{'vehicle_id': 25, 'energy': 84.61499624432328}]"
198,2017-01-09 06:00:00,"[{'vehicle_id': 25, 'energy': 88.31499624432328}]"
199,2017-01-09 07:00:00,"[{'vehicle_id': 25, 'energy': 92.01499624432327}]"
200,2017-01-09 08:00:00,"[{'vehicle_id': 25, 'energy': 95.71499624432329}]"
201,2017-01-09 09:00:00,[]
202,2017-01-09 10:00:00,[]
203,2017-01-09 11:00:00,"[{'vehicle_id': 26, 'energy': 36.23959614269035}]"
204,2017-01-09 12:00:00,"[{'vehicle_id': 26, 'energy': 39.939596142690355}]"
205,2017-01-09 13:00:00,"[{'vehicle_id': 26, 'energy': 43.63959614269035}]"
206,2017-01-09 14:00:00,"[{'vehicle_id': 26, 'energy': 47.339596142690354}, {'vehicle_id': 27, 'energy': 39.60813946552814}]"
207,2017-01-09 15:00:00,"[{'vehicle_id': 26, 'energy': 51.03959614269036}, {'vehicle_id': 27, 'energy': 43.30813946552814}, {'vehicle_id': 28, 'energy': 37.33920418852705}, {'vehicle_id': 29, 'energy': 46.65542516362899}]"
208,2017-01-09 16:00:00,"[{'vehicle_id': 26, 'energy': 54.73959614269035}, {'vehicle_id': 27, 'energy': 47.00813946552814}, {'vehicle_id': 28, 'energy': 41.03920418852705}, {'vehicle_id': 29, 'energy': 50.35542516362899}]"
209,2017-01-09 17:00:00,"[{'vehicle_id': 26, 'energy': 58.439596142690355}, {'vehicle_id': 27, 'energy': 50.70813946552814}, {'vehicle_id': 28, 'energy': 44.73920418852705}, {'vehicle_id': 29, 'energy': 54.05542516362899}, {'vehicle_id': 30, 'energy': 47.76693461271821}]"
