,time,Available_energy_sources
92,2017-06-01 23:00:00,"[{'vehicle_id': 1, 'energy': 100}, {'vehicle_id': 2, 'energy': 60.13992493440837}]"
93,2017-06-01 23:15:00,"[{'vehicle_id': 1, 'energy': 100}, {'vehicle_id': 2, 'energy': 61.064924934408374}]"
94,2017-06-01 23:30:00,"[{'vehicle_id': 1, 'energy': 100}, {'vehicle_id': 2, 'energy': 61.98992493440838}]"
95,2017-06-01 23:45:00,"[{'vehicle_id': 1, 'energy': 100}, {'vehicle_id': 2, 'energy': 62.914924934408376}]"
96,2017-06-02 00:00:00,"[{'vehicle_id': 1, 'energy': 100}, {'vehicle_id': 2, 'energy': 63.83992493440837}]"
97,2017-06-02 00:15:00,"[{'vehicle_id': 1, 'energy': 100}, {'vehicle_id': 2, 'energy': 64.76492493440838}]"
98,2017-06-02 00:30:00,"[{'vehicle_id': 1, 'energy': 100}, {'vehicle_id': 2, 'energy': 65.68992493440837}]"
99,2017-06-02 00:45:00,"[{'vehicle_id': 1, 'energy': 100}, {'vehicle_id': 2, 'energy': 66.61492493440838}, {'vehicle_id': 3, 'energy': 41.68891677675525}]"
100,2017-06-02 01:00:00,"[{'vehicle_id': 1, 'energy': 100}, {'vehicle_id': 2, 'energy': 67.53992493440838}, {'vehicle_id': 3, 'energy': 42.61391677675525}]"
101,2017-06-02 01:15:00,"[{'vehicle_id': 1, 'energy': 100}, {'vehicle_id': 2, 'energy': 68.46492493440837}, {'vehicle_id': 3, 'energy': 43.53891677675525}]"
102,2017-06-02 01:30:00,"[{'vehicle_id': 1, 'energy': 100}, {'vehicle_id': 2, 'energy': 69.38992493440838}, {'vehicle_id': 3, 'energy': 44.46391677675525}]"
103,2017-06-02 01:45:00,"[{'vehicle_id': 1, 'energy': 100}, {'vehicle_id': 2, 'energy': 70.31492493440837}, {'vehicle_id': 3, 'energy': 45.38891677675525}]"
104,2017-06-02 02:00:00,"[{'vehicle_id': 1, 'energy': 100}, {'vehicle_id': 2, 'energy': 71.23992493440838}, {'vehicle_id': 3, 'energy': 46.31391677675525}]"
105,2017-06-02 02:15:00,"[{'vehicle_id': 1, 'energy': 100}, {'vehicle_id': 2, 'energy': 72.16492493440838}, {'vehicle_id': 3, 'energy': 47.23891677675525}]"
106,2017-06-02 02:30:00,"[{'vehicle_id': 1, 'energy': 100}, {'vehicle_id': 2, 'energy': 73.08992493440837}, {'vehicle_id': 3, 'energy': 48.16391677675525}]"
107,2017-06-02 02:45:00,"[{'vehicle_id': 1, 'energy': 100}, {'vehicle_id': 2, 'energy': 74.01492493440838}, {'vehicle_id': 3, 'energy': 49.08891677675525}]"
108,2017-06-02 03:00:00,"[{'vehicle_id': 1, 'energy': 100}, {'vehicle_id': 2, 'energy': 74.93992493440837}, {'vehicle_id': 3, 'energy': 50.01391677675525}]"
109,2017-06-02 03:15:00,"[{'vehicle_id': 1, 'energy': 100}, {'vehicle_id': 2, 'energy': 75.86492493440838}, {'vehicle_id': 3, 'energy': 50.93891677675525}]"
110,2017-06-02 03:30:00,"[{'vehicle_id': 1, 'energy': 100}, {'vehicle_id': 2, 'energy': 76.78992493440838}, {'vehicle_id': 3, 'energy': 51.86391677675525}]"
111,2017-06-02 03:45:00,"[{'vehicle_id': 1, 'energy': 100}, {'vehicle_id': 2, 'energy': 77.71492493440837}, {'vehicle_id': 3, 'energy': 52.78891677675525}, {'vehicle_id': 4, 'energy': 49.694663934559976}]"
112,2017-06-02 04:00:00,"[{'vehicle_id': 1, 'energy': 100}, {'vehicle_id': 2, 'energy': 78.63992493440838}, {'vehicle_id': 3, 'energy': 53.71391677675525}, {'vehicle_id': 4, 'energy': 50.61966393455997}]"
113,2017-06-02 04:15:00,"[{'vehicle_id': 1, 'energy': 100}, {'vehicle_id': 2, 'energy': 79.56492493440837}, {'vehicle_id': 3, 'energy': 54.63891677675525}, {'vehicle_id': 4, 'energy': 51.54466393455998}]"
114,2017-06-02 04:30:00,"[{'vehicle_id': 1, 'energy': 100}, {'vehicle_id': 2, 'energy': 80.48992493440838}, {'vehicle_id': 3, 'energy': 55.56391677675525}, {'vehicle_id': 4, 'energy': 52.469663934559975}]"
115,2017-06-02 04:45:00,"[{'vehicle_id': 1, 'energy': 100}, {'vehicle_id': 2, 'energy': 81.41492493440838}, {'vehicle_id': 3, 'energy': 56.48891677675525}, {'vehicle_id': 4, 'energy': 53.39466393455998}]"
116,2017-06-02 05:00:00,"[{'vehicle_id': 1, 'energy': 100}, {'vehicle_id': 2, 'energy': 82.33992493440837}, {'vehicle_id': 3, 'energy': 57.41391677675525}, {'vehicle_id': 4, 'energy': 54.319663934559976}]"
117,2017-06-02 05:15:00,"[{'vehicle_id': 1, 'energy': 100}, {'vehicle_id': 2, 'energy': 83.26492493440838}, {'vehicle_id': 3, 'energy': 58.338916776755255}, {'vehicle_id': 4, 'energy': 55.24466393455998}]"
118,2017-06-02 05:30:00,"[{'vehicle_id': 1, 'energy': 100}, {'vehicle_id': 2, 'energy': 84.18992493440837}, {'vehicle_id': 3, 'energy': 59.26391677675525}, {'vehicle_id': 4, 'energy': 56.16966393455998}]"
119,2017-06-02 05:45:00,"[{'vehicle_id': 1, 'energy': 100}, {'vehicle_id': 2, 'energy': 85.11492493440838}, {'vehicle_id': 3, 'energy': 60.18891677675525}, {'vehicle_id': 4, 'energy': 57.094663934559975}]"
120,2017-06-02 06:00:00,"[{'vehicle_id': 1, 'energy': 100}, {'vehicle_id': 2, 'energy': 86.03992493440838}, {'vehicle_id': 3, 'energy': 61.11391677675525}, {'vehicle_id': 4, 'energy': 58.01966393455998}]"
121,2017-06-02 06:15:00,"[{'vehicle_id': 1, 'energy': 100}, {'vehicle_id': 2, 'energy': 86.96492493440837}, {'vehicle_id': 3, 'energy': 62.03891677675525}, {'vehicle_id': 4, 'energy': 58.944663934559976}]"
122,2017-06-02 06:30:00,"[{'vehicle_id': 2, 'energy': 87.88992493440838}, {'vehicle_id': 3, 'energy': 62.963916776755255}, {'vehicle_id': 4, 'energy': 59.86966393455998}]"
123,2017-06-02 06:45:00,"[{'vehicle_id': 2, 'energy': 88.81492493440837}, {'vehicle_id': 3, 'energy': 63.88891677675525}, {'vehicle_id': 4, 'energy': 60.79466393455998}]"
124,2017-06-02 07:00:00,"[{'vehicle_id': 2, 'energy': 89.73992493440838}, {'vehicle_id': 3, 'energy': 64.81391677675525}, {'vehicle_id': 4, 'energy': 61.719663934559975}]"
125,2017-06-02 07:15:00,"[{'vehicle_id': 2, 'energy': 90.66492493440838}, {'vehicle_id': 3, 'energy': 65.73891677675525}, {'vehicle_id': 4, 'energy': 62.64466393455998}]"
126,2017-06-02 07:30:00,"[{'vehicle_id': 2, 'energy': 91.58992493440837}, {'vehicle_id': 3, 'energy': 66.66391677675526}, {'vehicle_id': 4, 'energy': 63.569663934559976}]"
127,2017-06-02 07:45:00,"[{'vehicle_id': 2, 'energy': 92.51492493440838}, {'vehicle_id': 3, 'energy': 67.58891677675526}, {'vehicle_id': 4, 'energy': 64.49466393455998}]"
128,2017-06-02 08:00:00,"[{'vehicle_id': 2, 'energy': 93.43992493440837}, {'vehicle_id': 3, 'energy': 68.51391677675525}, {'vehicle_id': 4, 'energy': 65.41966393455998}]"
129,2017-06-02 08:15:00,"[{'vehicle_id': 2, 'energy': 94.36492493440838}, {'vehicle_id': 3, 'energy': 69.43891677675525}, {'vehicle_id': 4, 'energy': 66.34466393455997}]"
130,2017-06-02 08:30:00,"[{'vehicle_id': 2, 'energy': 95.28992493440838}, {'vehicle_id': 3, 'energy': 70.36391677675525}, {'vehicle_id': 4, 'energy': 67.26966393455997}]"
131,2017-06-02 08:45:00,"[{'vehicle_id': 2, 'energy': 96.21492493440837}, {'vehicle_id': 3, 'energy': 71.28891677675526}, {'vehicle_id': 4, 'energy': 68.19466393455997}]"
132,2017-06-02 09:00:00,"[{'vehicle_id': 2, 'energy': 97.13992493440838}, {'vehicle_id': 3, 'energy': 72.21391677675526}, {'vehicle_id': 4, 'energy': 69.11966393455998}]"
133,2017-06-02 09:15:00,"[{'vehicle_id': 2, 'energy': 98.06492493440837}, {'vehicle_id': 3, 'energy': 73.13891677675525}, {'vehicle_id': 4, 'energy': 70.04466393455998}]"
134,2017-06-02 09:30:00,"[{'vehicle_id': 2, 'energy': 98.98992493440838}, {'vehicle_id': 3, 'energy': 74.06391677675525}, {'vehicle_id': 4, 'energy': 70.96966393455997}]"
135,2017-06-02 09:45:00,"[{'vehicle_id': 2, 'energy': 99.91492493440838}, {'vehicle_id': 3, 'energy': 74.98891677675525}, {'vehicle_id': 4, 'energy': 71.89466393455999}]"
136,2017-06-02 10:00:00,"[{'vehicle_id': 2, 'energy': 100}, {'vehicle_id': 3, 'energy': 75.91391677675526}, {'vehicle_id': 4, 'energy': 72.81966393455997}]"
137,2017-06-02 10:15:00,"[{'vehicle_id': 2, 'energy': 100}, {'vehicle_id': 3, 'energy': 76.83891677675524}, {'vehicle_id': 4, 'energy': 73.74466393455998}]"
138,2017-06-02 10:30:00,"[{'vehicle_id': 2, 'energy': 100}, {'vehicle_id': 3, 'energy': 77.76391677675525}, {'vehicle_id': 4, 'energy': 74.66966393455998}]"
139,2017-06-02 10:45:00,"[{'vehicle_id': 2, 'energy': 100}, {'vehicle_id': 3, 'energy': 78.68891677675525}, {'vehicle_id': 4, 'energy': 75.59466393455997}]"
140,2017-06-02 11:00:00,"[{'vehicle_id': 2, 'energy': 100}, {'vehicle_id': 3, 'energy': 79.61391677675525}, {'vehicle_id': 4, 'energy': 76.51966393455999}]"
141,2017-06-02 11:15:00,"[{'vehicle_id': 3, 'energy': 80.53891677675526}, {'vehicle_id': 4, 'energy': 77.44466393455997}]"
142,2017-06-02 11:30:00,"[{'vehicle_id': 3, 'energy': 81.46391677675524}, {'vehicle_id': 4, 'energy': 78.36966393455998}]"
143,2017-06-02 11:45:00,"[{'vehicle_id': 3, 'energy': 82.38891677675525}, {'vehicle_id': 4, 'energy': 79.29466393455998}]"
144,2017-06-02 12:00:00,"[{'vehicle_id': 4, 'energy': 80.21966393455997}]"
145,2017-06-02 12:15:00,"[{'vehicle_id': 4, 'energy': 81.14466393455999}]"
146,2017-06-02 12:30:00,"[{'vehicle_id': 4, 'energy': 82.06966393455997}]"
147,2017-06-02 12:45:00,"[{'vehicle_id': 4, 'energy': 82.99466393455998}]"
148,2017-06-02 13:00:00,"[{'vehicle_id': 4, 'energy': 83.91966393455998}]"
149,2017-06-02 13:15:00,"[{'vehicle_id': 4, 'energy': 84.84466393455997}, {'vehicle_id': 5, 'energy': 55.88103081419491}]"
150,2017-06-02 13:30:00,"[{'vehicle_id': 4, 'energy': 85.76966393455999}, {'vehicle_id': 5, 'energy': 56.806030814194905}]"
151,2017-06-02 13:45:00,"[{'vehicle_id': 4, 'energy': 86.69466393455997}, {'vehicle_id': 5, 'energy': 57.73103081419491}]"
152,2017-06-02 14:00:00,"[{'vehicle_id': 4, 'energy': 87.61966393455998}, {'vehicle_id': 5, 'energy': 58.65603081419491}]"
153,2017-06-02 14:15:00,"[{'vehicle_id': 4, 'energy': 88.54466393455998}, {'vehicle_id': 5, 'energy': 59.58103081419491}, {'vehicle_id': 6, 'energy': 52.79590281855045}]"
154,2017-06-02 14:30:00,"[{'vehicle_id': 4, 'energy': 89.46966393455997}, {'vehicle_id': 5, 'energy': 60.50603081419491}, {'vehicle_id': 6, 'energy': 53.72090281855045}]"
155,2017-06-02 14:45:00,"[{'vehicle_id': 4, 'energy': 90.39466393455999}, {'vehicle_id': 5, 'energy': 61.43103081419491}, {'vehicle_id': 6, 'energy': 54.645902818550454}, {'vehicle_id': 7, 'energy': 39.51287161206709}]"
156,2017-06-02 15:00:00,"[{'vehicle_id': 4, 'energy': 91.31966393455997}, {'vehicle_id': 5, 'energy': 62.35603081419491}, {'vehicle_id': 6, 'energy': 55.57090281855045}, {'vehicle_id': 7, 'energy': 40.437871612067084}]"
157,2017-06-02 15:15:00,"[{'vehicle_id': 4, 'energy': 92.24466393455998}, {'vehicle_id': 5, 'energy': 63.28103081419491}, {'vehicle_id': 6, 'energy': 56.495902818550455}, {'vehicle_id': 7, 'energy': 41.36287161206709}]"
158,2017-06-02 15:30:00,"[{'vehicle_id': 4, 'energy': 93.16966393455998}, {'vehicle_id': 5, 'energy': 64.2060308141949}, {'vehicle_id': 6, 'energy': 57.42090281855045}, {'vehicle_id': 7, 'energy': 42.287871612067086}]"
159,2017-06-02 15:45:00,"[{'vehicle_id': 4, 'energy': 94.09466393455997}, {'vehicle_id': 5, 'energy': 65.1310308141949}, {'vehicle_id': 6, 'energy': 58.34590281855046}, {'vehicle_id': 7, 'energy': 43.21287161206709}]"
160,2017-06-02 16:00:00,"[{'vehicle_id': 4, 'energy': 95.01966393455999}, {'vehicle_id': 5, 'energy': 66.05603081419491}, {'vehicle_id': 6, 'energy': 59.270902818550454}, {'vehicle_id': 7, 'energy': 44.13787161206709}, {'vehicle_id': 8, 'energy': 45.62376003126475}]"
161,2017-06-02 16:15:00,"[{'vehicle_id': 4, 'energy': 95.94466393455997}, {'vehicle_id': 5, 'energy': 66.98103081419491}, {'vehicle_id': 6, 'energy': 60.19590281855045}, {'vehicle_id': 7, 'energy': 45.062871612067084}, {'vehicle_id': 8, 'energy': 46.54876003126475}]"
162,2017-06-02 16:30:00,"[{'vehicle_id': 4, 'energy': 96.86966393455998}, {'vehicle_id': 5, 'energy': 67.9060308141949}, {'vehicle_id': 6, 'energy': 61.120902818550455}, {'vehicle_id': 7, 'energy': 45.98787161206709}, {'vehicle_id': 8, 'energy': 47.47376003126475}]"
163,2017-06-02 16:45:00,"[{'vehicle_id': 4, 'energy': 97.79466393455998}, {'vehicle_id': 5, 'energy': 68.8310308141949}, {'vehicle_id': 6, 'energy': 62.04590281855045}, {'vehicle_id': 7, 'energy': 46.912871612067086}, {'vehicle_id': 8, 'energy': 48.39876003126475}]"
164,2017-06-02 17:00:00,"[{'vehicle_id': 4, 'energy': 98.71966393455997}, {'vehicle_id': 5, 'energy': 69.7560308141949}, {'vehicle_id': 6, 'energy': 62.97090281855046}, {'vehicle_id': 7, 'energy': 47.83787161206709}, {'vehicle_id': 8, 'energy': 49.323760031264754}]"
165,2017-06-02 17:15:00,"[{'vehicle_id': 4, 'energy': 99.64466393455999}, {'vehicle_id': 5, 'energy': 70.68103081419491}, {'vehicle_id': 6, 'energy': 63.895902818550454}, {'vehicle_id': 7, 'energy': 48.76287161206709}, {'vehicle_id': 8, 'energy': 50.24876003126475}]"
166,2017-06-02 17:30:00,"[{'vehicle_id': 4, 'energy': 100}, {'vehicle_id': 5, 'energy': 71.60603081419491}, {'vehicle_id': 6, 'energy': 64.82090281855045}, {'vehicle_id': 7, 'energy': 49.687871612067084}, {'vehicle_id': 8, 'energy': 51.17376003126475}]"
167,2017-06-02 17:45:00,"[{'vehicle_id': 4, 'energy': 100}, {'vehicle_id': 5, 'energy': 72.5310308141949}, {'vehicle_id': 6, 'energy': 65.74590281855045}, {'vehicle_id': 7, 'energy': 50.61287161206709}, {'vehicle_id': 8, 'energy': 52.09876003126475}]"
168,2017-06-02 18:00:00,"[{'vehicle_id': 4, 'energy': 100}, {'vehicle_id': 5, 'energy': 73.4560308141949}, {'vehicle_id': 6, 'energy': 66.67090281855045}, {'vehicle_id': 7, 'energy': 51.537871612067086}, {'vehicle_id': 8, 'energy': 53.02376003126475}]"
169,2017-06-02 18:15:00,"[{'vehicle_id': 4, 'energy': 100}, {'vehicle_id': 5, 'energy': 74.3810308141949}, {'vehicle_id': 6, 'energy': 67.59590281855046}, {'vehicle_id': 7, 'energy': 52.46287161206709}, {'vehicle_id': 8, 'energy': 53.948760031264754}]"
170,2017-06-02 18:30:00,"[{'vehicle_id': 4, 'energy': 100}, {'vehicle_id': 5, 'energy': 75.30603081419491}, {'vehicle_id': 6, 'energy': 68.52090281855045}, {'vehicle_id': 7, 'energy': 53.38787161206709}, {'vehicle_id': 8, 'energy': 54.87376003126475}]"
171,2017-06-02 18:45:00,"[{'vehicle_id': 4, 'energy': 100}, {'vehicle_id': 5, 'energy': 76.23103081419491}, {'vehicle_id': 6, 'energy': 69.44590281855045}, {'vehicle_id': 7, 'energy': 54.312871612067084}, {'vehicle_id': 8, 'energy': 55.79876003126475}]"
172,2017-06-02 19:00:00,"[{'vehicle_id': 4, 'energy': 100}, {'vehicle_id': 5, 'energy': 77.1560308141949}, {'vehicle_id': 6, 'energy': 70.37090281855045}, {'vehicle_id': 7, 'energy': 55.23787161206709}, {'vehicle_id': 8, 'energy': 56.72376003126475}]"
