,time,household_power,renewable_power,EUR/kWh,House&RW_load,total_cost
0,2017-01-01 00:00:00,1.8378742,0.682,0.02096,1.1558742,0.009630460807999999
1,2017-01-01 00:15:00,1.6861434,0.682,0.02096,1.0041433999999998,0.008835391416
2,2017-01-01 00:30:00,1.7179262,0.682,0.02096,1.0359262,0.009001933287999999
3,2017-01-01 00:45:00,1.8375334,0.682,0.02096,1.1555334,0.009628675016
4,2017-01-01 01:00:00,1.5582636,0.646,0.0209,0.9122636000000001,0.00814192731
5,2017-01-01 01:15:00,1.7042246,0.646,0.0209,1.0582246,0.008904573535
6,2017-01-01 01:30:00,1.8340276,0.646,0.0209,1.1880275999999999,0.009582794209999999
7,2017-01-01 01:45:00,2.0500474,0.646,0.0209,1.4040474,0.010711497664999998
8,2017-01-01 02:00:00,3.4555798,0.674,0.01813,2.7815798000000003,0.0156624154435
9,2017-01-01 02:15:00,3.6563392,0.674,0.01813,2.9823392,0.016572357424
10,2017-01-01 02:30:00,2.6459914,0.674,0.01813,1.9719914000000003,0.011992956020500002
11,2017-01-01 02:45:00,0.9839066,0.674,0.01813,0.3099065999999999,0.0044595566645
12,2017-01-01 03:00:00,0.9557024,0.734,0.01603,0.22170239999999997,0.0038299773679999994
13,2017-01-01 03:15:00,1.664562,0.734,0.01603,0.9305620000000001,0.006670732215
14,2017-01-01 03:30:00,0.9507548,0.734,0.01603,0.21675480000000003,0.0038101498609999997
15,2017-01-01 03:45:00,1.1121124,0.734,0.01603,0.3781124,0.004456790443
16,2017-01-01 04:00:00,1.1871436,0.736,0.01643,0.4511436,0.004876192337
17,2017-01-01 04:15:00,1.2691478,0.736,0.01643,0.5331478000000001,0.005213024588500001
18,2017-01-01 04:30:00,1.0140408,0.736,0.01643,0.2780408000000001,0.004165172586
19,2017-01-01 04:45:00,1.2005811999999998,0.736,0.01643,0.4645811999999998,0.004931387278999999
20,2017-01-01 05:00:00,0.9246212,0.762,0.01375,0.16262120000000002,0.003178385375
21,2017-01-01 05:15:00,0.9837926,0.762,0.01375,0.2217926,0.0033817870625
22,2017-01-01 05:30:00,1.1580536,0.762,0.01375,0.3960535999999999,0.00398080925
23,2017-01-01 05:45:00,0.9732822,0.762,0.01375,0.21128219999999998,0.0033456575625
24,2017-01-01 06:00:00,0.9947226,0.782,0.0111,0.21272259999999998,0.0027603552150000004
25,2017-01-01 06:15:00,1.1056448,0.782,0.0111,0.32364480000000007,0.0030681643200000004
26,2017-01-01 06:30:00,0.9158704,0.782,0.0111,0.13387039999999994,0.00254154036
27,2017-01-01 06:45:00,0.9333392,0.782,0.0111,0.1513392,0.0025900162800000003
28,2017-01-01 07:00:00,0.9203396,0.8660000000000001,0.01547,0.05433959999999993,0.003559413403
29,2017-01-01 07:15:00,1.0990082,0.8660000000000001,0.01547,0.2330082,0.0042504142135
30,2017-01-01 07:30:00,0.950169,0.8660000000000001,0.01547,0.08416899999999994,0.0036747786075
31,2017-01-01 07:45:00,0.8023448000000001,0.8660000000000001,0.01547,-0.06365520000000002,0.003103068514
32,2017-01-01 08:00:00,0.8583223999999999,1.496,0.01688,-0.6376776000000001,0.0036221205279999996
33,2017-01-01 08:15:00,1.2868389999999998,1.496,0.01688,-0.20916100000000015,0.005430460579999999
34,2017-01-01 08:30:00,1.0477218,1.496,0.01688,-0.44827820000000007,0.004421385995999999
35,2017-01-01 08:45:00,0.8601738,1.496,0.01688,-0.6358262,0.0036299334359999997
36,2017-01-01 09:00:00,0.9165394,1.95,0.02181,-1.0334606,0.0049974310785
37,2017-01-01 09:15:00,0.9699988000000002,1.95,0.02181,-0.9800011999999998,0.0052889184570000004
38,2017-01-01 09:30:00,1.0200476,1.95,0.02181,-0.9299523999999999,0.005561809539
39,2017-01-01 09:45:00,0.992782,1.95,0.02181,-0.9572179999999999,0.005413143855
40,2017-01-01 10:00:00,2.3611820000000003,2.034,0.02624,0.32718200000000053,0.015489353920000002
41,2017-01-01 10:15:00,1.655106,2.034,0.02624,-0.37889399999999984,0.01085749536
42,2017-01-01 10:30:00,1.2257748,2.034,0.02624,-0.8082251999999999,0.008041082687999999
43,2017-01-01 10:45:00,3.9452054,2.034,0.02624,1.9112054,0.025880547424
44,2017-01-01 11:00:00,3.765939,1.9740000000000002,0.02642,1.7919389999999997,0.024874027094999997
45,2017-01-01 11:15:00,1.7076105999999998,1.9740000000000002,0.02642,-0.26638940000000044,0.011278768012999998
46,2017-01-01 11:30:00,1.4145768,1.9740000000000002,0.02642,-0.5594232000000001,0.009343279764
47,2017-01-01 11:45:00,1.0968474,1.9740000000000002,0.02642,-0.8771526000000003,0.007244677076999999
48,2017-01-01 12:00:00,1.1618456,1.826,0.02766,-0.6641544000000001,0.008034162324
49,2017-01-01 12:15:00,1.036493,1.826,0.02766,-0.789507,0.007167349095000001
50,2017-01-01 12:30:00,1.5776786,1.826,0.02766,-0.24832140000000003,0.010909647519
51,2017-01-01 12:45:00,2.7164690000000005,1.826,0.02766,0.8904690000000004,0.018784383135000002
52,2017-01-01 13:00:00,1.243126,1.6400000000000001,0.0287,-0.39687400000000017,0.00891942905
53,2017-01-01 13:15:00,1.2028132,1.6400000000000001,0.0287,-0.4371868000000001,0.00863018471
54,2017-01-01 13:30:00,1.3667626,1.6400000000000001,0.0287,-0.2732374000000002,0.009806521654999999
55,2017-01-01 13:45:00,2.9185122,1.6400000000000001,0.0287,1.2785121999999998,0.020940325035
56,2017-01-01 14:00:00,2.4837312,1.1720000000000002,0.02966,1.3117311999999997,0.018416866847999997
57,2017-01-01 14:15:00,1.0959968,1.1720000000000002,0.02966,-0.07600320000000016,0.008126816272
58,2017-01-01 14:30:00,1.1535008000000002,1.1720000000000002,0.02966,-0.018499199999999938,0.008553208432000001
59,2017-01-01 14:45:00,1.8816494,1.1720000000000002,0.02966,0.7096493999999998,0.013952430301
60,2017-01-01 15:00:00,3.1397988000000003,0.728,0.03533,2.4117988000000006,0.027732272901000003
61,2017-01-01 15:15:00,4.0370262,0.728,0.03533,3.3090262,0.0356570339115
62,2017-01-01 15:30:00,3.1892526,0.728,0.03533,2.4612526,0.0281690735895
63,2017-01-01 15:45:00,2.195391,0.728,0.03533,1.467391,0.019390791007499998
64,2017-01-01 16:00:00,1.1544164,0.748,0.04412,0.4064163999999999,0.012733212891999999
65,2017-01-01 16:15:00,1.39672,0.748,0.04412,0.64872,0.0154058216
66,2017-01-01 16:30:00,2.011844,0.748,0.04412,1.263844,0.02219063932
67,2017-01-01 16:45:00,1.7653476,0.748,0.04412,1.0173476,0.019471784027999997
68,2017-01-01 17:00:00,2.1067534,0.748,0.05159,1.3587534000000001,0.0271718519765
