"Name","underconsume","overconsume","overcost","av_EV_energy_left","cumulative_reward"
"quiet-sweep-30","","","","",""
"resilient-sweep-29","13039.010028759569","2427.750253485834","85.9818390670592","60.57922398974163","198210.3110001425"
"cerulean-sweep-28","12313.714493887428","3079.01416218367","109.49043642937389","61.11692182055691","191338.8882313607"
"proud-sweep-27","11900.582616826074","2976.5595441520545","104.76769078755646","61.77919511815738","197047.38225542425"
"effortless-sweep-26","13542.5704171803","3103.0396633705145","116.96675514813704","60.161513037846994","172887.28480958135"
"swept-sweep-25","12511.960446613835","2690.2649133739837","89.90761845386834","60.82127101603372","202090.08407629217"
"drawn-sweep-24","14487.247065820016","2446.8850886488995","85.94303312144245","58.83404830297088","173920.1971224944"
"happy-sweep-23","15432.143394777251","2577.537637553328","92.6363195190603","58.09243396846824","155897.46041866174"
"wild-sweep-22","12718.936666165697","3381.749693272831","116.7242435965384","60.89593036509033","163532.73931632104"
"crisp-sweep-21","15425.950815592616","1545.883686829049","59.78144126427186","57.288223230210086","190083.6386834729"
"fallen-sweep-20","14625.193728596494","1847.0345721687956","66.71458946891009","58.269945641113594","182033.37399056624"
"smart-sweep-19","11895.000877318347","1537.7592310483662","56.57054335748582","60.71144094653509","243022.2834619071"
"hearty-sweep-18","11977.44206003709","1639.8870473843408","60.12063534821617","60.56383902842999","241556.7711761128"
"cosmic-sweep-17","13342.835931864394","1647.7284471001417","61.09971897006277","59.63764182592054","220606.2620406345"
"azure-sweep-16","12962.555526159796","1952.9265360232005","72.39955906821558","60.020866053354574","217922.75896407143"
"genial-sweep-15","13293.156701878446","2166.0528017088714","80.5105680835448","59.9524932921755","208120.32857615652"
"winter-sweep-14","12140.570681389774","1716.1338182534105","68.98008971532049","60.393816643781186","236761.15789400163"
"charmed-sweep-13","12568.572810217987","2425.757417455666","88.44622214816569","60.18720892906872","196191.94550869404"
"ethereal-sweep-12","12476.150813883824","2714.5072704482036","104.06152045924566","60.47569396601741","201319.59965131272"
"warm-sweep-11","12681.266883875136","2833.4443047051823","94.3387168937609","61.11555608447476","196280.4297109441"
"treasured-sweep-10","12352.48230638038","2184.9622010522016","80.09516378357587","61.13648430570284","221039.75686405023"
"dazzling-sweep-9","11855.123441847018","2919.625236512879","101.33922049926548","61.43238476501893","201032.99057969227"
"quiet-sweep-8","13542.12488920142","2050.5631147942845","73.94298213868859","59.288372112289274","196792.0547082102"
"snowy-sweep-7","12738.654665574775","1638.961412957743","58.30060374268659","59.594821226278675","230352.5271866681"
"swept-sweep-6","13337.468153202346","3469.3510301740166","123.59991763104","60.694406127176904","165716.23831974817"
"super-sweep-5","12553.198795389457","1921.8358453099563","72.3667110105254","60.685845490831824","215762.9640913915"
"apricot-sweep-4","14181.384588179237","2544.633670390011","90.93387926462748","59.404244506736696","183163.0934508454"
"fine-sweep-3","13269.960188537916","1488.9028108167936","54.79883126279514","59.39738728451035","222220.52082812917"
"dainty-sweep-2","11751.683634380704","1938.810944734647","68.8484038889702","60.87425714698044","234278.64350208815"
"fiery-sweep-1","13758.240215734177","1524.6378133825715","59.85395206436284","58.24663540733192","210315.7542477519"
