"Name","underconsume","overconsume","overcost","av_EV_energy_left","cumulative_reward"
"earthy-sweep-50","6542.350596025349","3535.8952395370543","123.61386238484288","67.34219375652017","321907.75367921236"
"comfy-sweep-49","","","","",""
"olive-sweep-48","","","","",""
"lemon-sweep-47","7561.050907682654","6306.808408952329","209.44393880561387","68.71919637775068","258151.37167033576"
"pretty-sweep-46","","","","",""
"peachy-sweep-45","","","","",""
"neat-sweep-44","","","","",""
"genial-sweep-43","10903.977679232734","1535.169882877236","55.01588209964942","61.37809354615679","286897.4248293824"
"pleasant-sweep-42","","","","",""
"devout-sweep-41","10698.01929349408","3036.269807942783","106.3883301473238","62.92918403533384","256765.17631292625"
"apricot-sweep-40","9803.619032233935","2247.6762560736584","80.06813639895066","63.23842583151714","287271.899565874"
"northern-sweep-39","","","","",""
"hopeful-sweep-38","","","","",""
"faithful-sweep-37","8548.047816224067","2216.8101985801295","79.83764707418854","64.07259269327487","314782.71691100474"
"smart-sweep-36","","","","",""
"deep-sweep-35","7851.42051082207","17303.648899676395","606.8204064644173","79.5055546964077","123627.28359147052"
"iconic-sweep-34","","","","",""
"crimson-sweep-33","10189.3426183394","10154.752463985167","366.3265332332063","69.88089273523148","160962.4148055882"
"giddy-sweep-32","12103.480139048836","2102.6141695780116","77.59662945294252","60.856869292459194","246137.37111638035"
"balmy-sweep-31","","","","",""
"deft-sweep-30","9435.647091159231","2669.598969750939","97.0150905678356","63.98666069245051","290665.37184957496"
"lyric-sweep-29","9028.329293692736","9575.102788718174","342.35457397177015","70.66621541969936","204407.83887101107"
"solar-sweep-28","6914.190998461994","5298.322272188894","175.63299742033846","68.71781463028553","285778.3661250323"
"genial-sweep-27","","","","",""
"glad-sweep-26","","","","",""
"golden-sweep-25","","","","",""
"crisp-sweep-24","","","","",""
"skilled-sweep-23","","","","",""
"atomic-sweep-22","6788.569009741676","9647.399691663397","341.89314285642564","73.21055151754898","239239.95490452467"
"lively-sweep-21","","","","",""
"young-sweep-20","12470.28929127962","2706.813324015437","95.62681167790925","61.08254357040588","225297.10463477045"
"electric-sweep-19","9724.835612142786","2331.8636300985713","89.6901309458979","62.99717677796703","299533.2525553266"
"icy-sweep-18","6816.862813832495","1597.5330835401137","51.932410214699175","65.67881467606526","359949.48034987214"
"faithful-sweep-17","7802.6708728219055","11520.182261309634","387.9995416966257","74.48886311688376","236516.3974898246"
"expert-sweep-16","7567.7528395667805","3015.039223348732","102.48814968272104","65.28559803947695","314295.4754396889"
"hardy-sweep-15","","","","",""
"olive-sweep-14","7832.56707520319","1915.8575209140852","65.94187634886802","65.29543384648964","348017.22069333936"
"fiery-sweep-13","","","","",""
"whole-sweep-12","7281.008190355064","8038.676845013916","272.3580929935682","70.87155060012745","241236.40623964192"
"denim-sweep-11","","","","",""
"charmed-sweep-10","","","","",""
"flowing-sweep-9","11335.47064229461","1990.488427673482","75.30704065290945","61.160457038827474","268519.1090838155"
"firm-sweep-8","7609.188030130589","2827.461204883925","97.63025730834411","65.70448281479477","313970.52897393814"
"lemon-sweep-7","","","","",""
"amber-sweep-6","","","","",""
"pious-sweep-5","","","","",""
"cool-sweep-4","","","","",""
"legendary-sweep-3","","","","",""
"solar-sweep-2","7978.574788497345","3150.091578565706","109.13789862127454","65.49825816368852","306559.0516534842"
"logical-sweep-1","9002.85694766792","3948.707316723902","135.94190837363388","65.45895780726018","265155.98423730704"
