,Name,underconsume,overconsume,overcost,av_EV_energy_left,cumulative_reward
0,35_EVs,2857.181880443665,696.3097377826446,30.074379495280297,65.35106042268241,519531.4164197719
1,35_EVs,3340.6915204211887,583.3803268578152,24.751925045901096,64.89275315700466,515537.6004607147
2,35_EVs,2998.2668386812306,665.3212970453882,26.908554428165836,64.90959564618335,518365.2336867316
3,35_EVs,2761.939994345115,606.3109830296969,26.35926840426527,65.91218258184632,530654.3600571246
4,35_EVs,3102.0401707939845,550.0186949057703,24.392065040873916,65.19775177169113,521500.5385854199
5,35_EVs,3012.357852624172,587.8826693599578,25.42430001727049,65.17659558846282,521406.26192348695
6,35_EVs,3230.140630771159,546.0895661525375,23.90502630803534,65.0224308524175,515555.66680147644
7,35_EVs,2718.755723756194,628.7298447530789,25.947103783888256,65.3521703733603,523525.39189386135
8,35_EVs,3065.815200022673,613.8640961342511,25.414651984349575,64.84331014328455,514276.6613893968
9,35_EVs,2782.274024900044,747.4277493298952,32.06414618925217,65.08828166584382,517052.31880662986
10,35_EVs_mean,2986.9463,622.5335,26.52414,65.174614,519740.56
11,30_EVs,4074.5328650387646,623.2220315761414,25.275104804062515,66.9457079294034,501344.6444687031
12,30_EVs,4038.895222597133,763.4560288071102,33.2026696119573,67.03670794923163,503296.4771233128
13,30_EVs,4699.659729477789,780.8526644561201,34.10678755932061,67.11108133717651,484504.49732330453
14,30_EVs,3632.8790875591385,852.7296348675269,37.82655624124288,67.37385441060066,505123.95916033164
15,30_EVs,4380.246967169216,886.5917497285714,37.3716211320202,67.18726555576292,488469.10534677305
16,30_EVs,4059.9265799698474,744.5073671608814,32.28974191798578,66.91015180693616,494805.03375353664
17,30_EVs,4271.559093843322,663.9703973464718,27.863561022152247,66.8595908614434,493582.67617658735
18,30_EVs,4431.430503755054,723.489171646925,31.12098124891205,66.65657441420367,489988.7423288622
19,30_EVs,4364.329452103891,654.7318427742354,28.614788150771023,66.90785088155,495277.5197799701
20,30_EVs,4595.107327818425,802.3710347397166,35.559172164838586,67.21073322913374,484308.5467178759
21,30_EVs_mean,4254.857,749.59216,32.323097,67.01995,494070.1
22,25_EVs,5909.196698659185,1014.4714808375526,45.181315458435776,69.05407122675473,458386.6298981798
23,25_EVs,5941.339233062921,831.4283839517282,36.54373285345484,69.41816584282779,465484.68176145956
24,25_EVs,5824.802280287664,908.2716319447155,38.885161965493964,69.08340698120301,463061.2162903388
25,25_EVs,6128.626883000576,846.6896110352881,39.48749039996948,69.3192996288899,454768.4486592293
26,25_EVs,5816.407244439834,1057.165369133758,45.87709920795823,69.18596842102734,465168.23687817855
27,25_EVs,6216.67885786964,1042.8406769993392,44.99261576681498,68.97160923671154,449915.49815215846
28,25_EVs,5942.8541485277465,1080.3535695144403,49.27007238312184,69.55966174507476,458173.2261583879
29,25_EVs,5736.788885080516,1103.0209287965763,48.49492269917831,69.83252637417519,456298.486422486
30,25_EVs,5732.089357040164,1000.7278751170368,44.657325472341725,69.53428023147573,462340.5058170571
31,25_EVs,6048.2421282610085,954.1150297531614,42.841874256616514,69.5848797588058,458918.8282413019
32,25_EVs_mean,5929.7026,983.9085,43.62316,69.354385,459251.6
33,20_EVs,7430.534968603179,1241.7956842250317,57.16634767351528,73.1977020473171,433408.7530634718
34,20_EVs,7632.957088683905,1308.5762285790343,57.56276330638186,72.0769064455179,419970.338828035
35,20_EVs,8427.717075189921,1274.3124445433716,56.95331215223736,72.34015118514978,411876.6506545667
36,20_EVs,8855.198305571383,1141.1323430352954,52.29770919937007,71.16506226112259,411911.9149152798
37,20_EVs,8323.011191833983,1307.0361183083603,57.06764370668137,72.46488783885476,415025.8584264637
38,20_EVs,7746.515926192424,1286.1905373472334,57.16169325486654,72.60239249276621,422751.0311517252
39,20_EVs,8116.57087200292,1220.5385604770445,53.06177681042506,71.85754093389494,414501.4592125456
40,20_EVs,7805.827762790612,1126.099947531396,51.99885057957085,72.16151530760253,420548.8486341612
41,20_EVs,9029.680019551262,1217.174774826434,54.229844606172485,70.84827967529716,398525.2298046441
42,20_EVs,8706.932478506798,1095.2506889619533,48.19532576758975,71.56676824448688,411843.35317312396
43,20_EVs_mean,8207.494,1221.8108,54.569527,72.02812,416036.34
44,15_EVs,11928.546506200177,1630.5282479699158,71.87540887797367,74.9866801137511,331374.05485945253
45,15_EVs,12398.215582601038,1519.1540948202187,67.3368474568656,75.16120149382174,333134.3717916036
46,15_EVs,11603.727539118188,1560.1209599603465,67.9828512241524,75.31962719539081,341786.8558657821
47,15_EVs,12359.623932138784,1989.458262852528,88.93610515273302,75.40430709247414,316922.28653898556
48,15_EVs,12217.505865973922,1587.957126057484,69.163869124542,74.30189335500927,336698.7302498964
49,15_EVs,12341.965999919543,1730.8207521648371,76.31330353735316,74.91291159939871,330463.88782766834
50,15_EVs,12268.420011606026,1599.1967101471976,71.76484296420028,74.52858581325084,329775.537002941
51,15_EVs,11948.173589817823,1776.1411275813443,78.8085311952122,75.55876128998011,327961.21446164267
52,15_EVs,11978.070375379648,1596.3928463426503,72.56952790297994,75.25244398077825,337671.9436502924
53,15_EVs,11523.786819115048,1569.5220764347016,68.86437156574165,75.91520692994305,349363.9286880798
54,15_EVs_mean,12056.804,1655.9291,73.361565,75.13416,333515.3
55,10_EVs,17141.5719148706,2155.876065331636,93.79110537758575,78.45809773666237,211757.8816504727
56,10_EVs,17626.305520615973,1932.9416746703391,86.99478513616963,78.25552595992241,215993.96392043252
57,10_EVs,17003.655788494925,2023.1011494297225,90.03617928735197,77.760811596399,218117.58871366744
