"Name","underconsume","overconsume","overcost","av_EV_energy_left","cumulative_reward"
"pretty-sweep-40","18711.91374992117","11136.357240654826","421.7506798524344","62.70007506650809","-50939.34488510833"
"ancient-sweep-39","24322.719107818873","6266.337147868968","241.61895687022184","52.91432209743555","-121125.48356032562"
"unique-sweep-38","22630.960329447305","6866.831073635876","264.24308184165284","55.587082221944065","-94082.17393737394"
"firm-sweep-37","24882.216599506493","6450.39315106429","247.89904768220256","53.66897109633948","-126536.96057943386"
"flowing-sweep-36","14221.505078596265","13679.002459734991","510.8602206943025","69.77565669554969","36652.498877395046"
"vocal-sweep-35","19654.58903376123","11025.873651133405","412.78997111166257","62.340893288769294","-55474.263905801534"
"vibrant-sweep-34","17457.042296397358","12505.314773316912","468.6385144552446","65.40864011309014","-29519.48963363623"
"clean-sweep-33","18601.53896387374","11665.240001215148","440.15238328958606","63.778969559482235","-48902.878746409704"
"hardy-sweep-32","15628.822666981983","13395.825371657898","500.74644602359206","68.46192590130138","10174.151413123403"
"quiet-sweep-31","17052.2894130433","10408.352034518311","396.5376055010772","63.62809075718541","-8016.753090872451"
"stilted-sweep-30","17304.632953774766","11802.753154911148","445.3952953543517","65.65949528823114","-12854.714784992892"
"revived-sweep-29","17840.364926748272","11527.555326020529","435.89470843655215","64.62897776629111","-27134.96486779093"
"azure-sweep-28","15217.623030887307","12595.751701487274","464.6729491654213","67.86666340032185","16228.76440576373"
"wandering-sweep-27","23931.153684591456","6353.756203787917","249.0097810035171","53.47679704968759","-113490.68345128252"
"ancient-sweep-26","16845.773898573756","12563.018658502908","465.7683354687397","65.86054019777522","-11450.69777824573"
"silvery-sweep-25","24685.48895421578","6063.835486122034","232.9924557706528","52.25892607301402","-130620.49598089098"
"wandering-sweep-24","23491.725289900787","6352.16522060423","243.18560011164743","53.82114699479605","-108428.1703251695"
"good-sweep-23","25362.4771178919","5597.198539721528","217.13719246989015","51.312417209845755","-139968.95605452763"
"rural-sweep-22","16430.951199210936","11581.911353366278","430.96002478016015","65.31516111327214","-4369.005503561841"
"northern-sweep-21","15914.281456674187","13127.206625125003","488.6142701938295","68.0721600652415","3987.4295274107862"
"vibrant-sweep-20","14885.422255826214","13056.685781213131","486.52684675681166","68.04720027669761","16839.104682669124"
"wandering-sweep-19","20083.564942086257","11092.92187459089","414.1564436272463","62.177890221484205","-65046.552813310554"
"sunny-sweep-18","13686.71212812786","13802.024608484146","509.6310533838632","70.51613948080495","40428.85534671264"
"clean-sweep-17","24310.37782993184","6370.700169172176","246.2271523416935","52.92955382169243","-123036.88186436045"
"graceful-sweep-16","18945.58305830302","11077.591623404283","420.0840792279717","62.97649703614271","-49780.29816245136"
"bright-sweep-15","25921.995764168005","5153.872295780917","202.47493564539187","50.82168607992961","-145900.78354270986"
"glad-sweep-14","17205.565246283368","11314.371630010166","423.2632749431503","64.49492382161749","-19722.855990878532"
"summer-sweep-13","19347.767584358295","10633.948618537092","396.1453421348034","61.68955827839939","-54058.450566424726"
"likely-sweep-12","14500.594673618469","13634.315827955865","506.035925598399","70.05176778338273","35133.06825382437"
"devout-sweep-11","18841.865671012292","11228.558661153931","422.97642916009863","63.5009215433494","-43824.75608158176"
"worldly-sweep-10","22313.44873029816","6956.897778368716","267.3020220414966","55.51749667000723","-84366.68352066074"
"deep-sweep-9","13095.491455680216","26234.569255354567","950.4463137278652","82.90226793583447","-97202.9522637689"
"olive-sweep-8","14987.619621724103","14919.292261334229","544.4305405734335","70.07977582743287","-3114.0745662145373"
"stellar-sweep-7","16265.438902538655","11605.316171765367","437.7478252006217","65.84003862677024","1250.2728954754057"
"fast-sweep-6","24738.29660335095","5892.838492758643","229.2752370018847","52.22873985905347","-129418.21921938876"
"ethereal-sweep-5","26367.35603932709","5168.972045035627","201.07184604478297","50.32294845581055","-155541.95456543553"
"cosmic-sweep-4","16646.161024067354","11403.683442219492","426.5764026838521","65.32083181809642","-5640.8206520238655"
"glowing-sweep-3","16936.461750929542","12191.962500797768","460.5216248295654","65.90052465984391","-13317.337644834442"
"eager-sweep-2","16023.744205715437","12658.408309399709","466.5839302178911","67.36886542194398","4737.322562085947"
"wild-sweep-1","24175.356897416837","5865.65330927221","228.65115065750769","52.96519273579215","-116128.87162712587"
